variable,raw_value,display_value,n,percent
v021,926,926,5,0.027799399532970087
v021,958,958,5,0.027799399532970087
v021,964,964,5,0.027799399532970087
v021,975,975,5,0.027799399532970087
v021,977,977,5,0.027799399532970087
v021,101,101,4,0.022239519626376072
v021,1010,1010,4,0.022239519626376072
v021,1022,1022,4,0.022239519626376072
v021,1057,1057,4,0.022239519626376072
v021,1058,1058,4,0.022239519626376072
v021,1094,1094,4,0.022239519626376072
v021,1097,1097,4,0.022239519626376072
v021,1119,1119,4,0.022239519626376072
v021,1131,1131,4,0.022239519626376072
v021,1141,1141,4,0.022239519626376072
v021,1200,1200,4,0.022239519626376072
v021,1202,1202,4,0.022239519626376072
v021,1252,1252,4,0.022239519626376072
v021,1275,1275,4,0.022239519626376072
v021,1279,1279,4,0.022239519626376072
v021,1301,1301,4,0.022239519626376072
v021,1302,1302,4,0.022239519626376072
v021,1311,1311,4,0.022239519626376072
v021,1316,1316,4,0.022239519626376072
v021,1326,1326,4,0.022239519626376072
v021,1327,1327,4,0.022239519626376072
v021,1335,1335,4,0.022239519626376072
v021,1339,1339,4,0.022239519626376072
v021,1351,1351,4,0.022239519626376072
v021,1378,1378,4,0.022239519626376072
v021,1383,1383,4,0.022239519626376072
v021,1386,1386,4,0.022239519626376072
v021,1400,1400,4,0.022239519626376072
v021,492,492,4,0.022239519626376072
v021,497,497,4,0.022239519626376072
v021,543,543,4,0.022239519626376072
v021,569,569,4,0.022239519626376072
v021,574,574,4,0.022239519626376072
v021,640,640,4,0.022239519626376072
v021,712,712,4,0.022239519626376072
v021,755,755,4,0.022239519626376072
v021,789,789,4,0.022239519626376072
v021,807,807,4,0.022239519626376072
v021,810,810,4,0.022239519626376072
v021,829,829,4,0.022239519626376072
v021,841,841,4,0.022239519626376072
v021,846,846,4,0.022239519626376072
v021,897,897,4,0.022239519626376072
v021,913,913,4,0.022239519626376072
v021,918,918,4,0.022239519626376072
v021,984,984,4,0.022239519626376072
v021,1003,1003,3,0.016679639719782053
v021,1004,1004,3,0.016679639719782053
v021,1047,1047,3,0.016679639719782053
v021,1093,1093,3,0.016679639719782053
v021,1134,1134,3,0.016679639719782053
v021,1138,1138,3,0.016679639719782053
v021,1143,1143,3,0.016679639719782053
v021,1180,1180,3,0.016679639719782053
v021,1186,1186,3,0.016679639719782053
v021,1215,1215,3,0.016679639719782053
v021,1218,1218,3,0.016679639719782053
v021,1266,1266,3,0.016679639719782053
v021,1283,1283,3,0.016679639719782053
v021,1304,1304,3,0.016679639719782053
v021,1310,1310,3,0.016679639719782053
v021,1314,1314,3,0.016679639719782053
v021,1329,1329,3,0.016679639719782053
v021,1345,1345,3,0.016679639719782053
v021,498,498,3,0.016679639719782053
v021,506,506,3,0.016679639719782053
v021,584,584,3,0.016679639719782053
v021,647,647,3,0.016679639719782053
v021,650,650,3,0.016679639719782053
v021,717,717,3,0.016679639719782053
v021,742,742,3,0.016679639719782053
v021,749,749,3,0.016679639719782053
v021,808,808,3,0.016679639719782053
v021,817,817,3,0.016679639719782053
v021,818,818,3,0.016679639719782053
v021,821,821,3,0.016679639719782053
v021,828,828,3,0.016679639719782053
v021,844,844,3,0.016679639719782053
v021,849,849,3,0.016679639719782053
v021,863,863,3,0.016679639719782053
v021,873,873,3,0.016679639719782053
v021,889,889,3,0.016679639719782053
v021,894,894,3,0.016679639719782053
v021,905,905,3,0.016679639719782053
v021,934,934,3,0.016679639719782053
v021,952,952,3,0.016679639719782053
v021,976,976,3,0.016679639719782053
v021,1021,1021,2,0.011119759813188036
v021,1110,1110,2,0.011119759813188036
v021,1120,1120,2,0.011119759813188036
v021,1125,1125,2,0.011119759813188036
v021,1154,1154,2,0.011119759813188036
v021,1195,1195,2,0.011119759813188036
v021,1296,1296,2,0.011119759813188036
v021,1349,1349,2,0.011119759813188036
v021,1353,1353,2,0.011119759813188036
v021,1372,1372,2,0.011119759813188036
v021,493,493,2,0.011119759813188036
v021,617,617,2,0.011119759813188036
v021,618,618,2,0.011119759813188036
v021,743,743,2,0.011119759813188036
v021,757,757,2,0.011119759813188036
v021,767,767,2,0.011119759813188036
v021,778,778,2,0.011119759813188036
v021,812,812,2,0.011119759813188036
v021,830,830,2,0.011119759813188036
v021,840,840,2,0.011119759813188036
v021,871,871,2,0.011119759813188036
v021,877,877,2,0.011119759813188036
v021,901,901,2,0.011119759813188036
v021,903,903,2,0.011119759813188036
v021,932,932,2,0.011119759813188036
v021,933,933,2,0.011119759813188036
v021,1049,1049,1,0.005559879906594018
v021,1104,1104,1,0.005559879906594018
v021,1274,1274,1,0.005559879906594018
v021,1305,1305,1,0.005559879906594018
v021,1308,1308,1,0.005559879906594018
v021,1362,1362,1,0.005559879906594018
v021,756,756,1,0.005559879906594018
v021,765,765,1,0.005559879906594018
v021,802,802,1,0.005559879906594018
v021,834,834,1,0.005559879906594018
v021,838,838,1,0.005559879906594018
v021,852,852,1,0.005559879906594018
v021,893,893,1,0.005559879906594018
v022,8,[8] jigawa rural,746,4.147670410319137
v022,24,[24] kebbi rural,698,3.880796174802624
v022,2,[2] sokoto rural,598,3.324808184143223
v022,20,[20] kano rural,598,3.324808184143223
v022,18,[18] bauchi rural,593,3.2970087846102523
v022,10,[10] yobe rural,569,3.1635716668519964
v022,22,[22] kaduna rural,545,3.0301345490937397
v022,14,[14] adamawa rural,512,2.846658512176137
v022,16,[16] gombe rural,505,2.8077393528299788
v022,6,[6] katsina rural,464,2.579784276659624
v022,11,[11] borno urban,456,2.535305237406872
v022,32,[32] plateau rural,424,2.3573890803958637
v022,56,[56] ebonyi rural,418,2.3240298009562994
v022,4,[4] zamfara rural,404,2.246191482263983
v022,26,[26] niger rural,381,2.1183142444123204
v022,19,[19] kano urban,368,2.0460358056265986
v022,73,[73] ogun urban,324,1.8014010897364616
v022,38,[38] kogi rural,321,1.7847214500166797
v022,34,[34] taraba rural,318,1.7680418102968978
v022,30,[30] nasarawa rural,312,1.7346825308573333
v022,21,[21] kaduna urban,304,1.6902034916045812
v022,71,[71] lagos urban,297,1.6512843322584232
v022,69,[69] delta urban,294,1.6346046925386413
v022,64,[64] imo rural,288,1.601245413099077
v022,65,[65] rivers urban,283,1.573446013566107
v022,41,[41] oyo urban,282,1.567886133659513
v022,36,[36] benue rural,267,1.4844879350606026
v022,67,[67] bayelsa urban,265,1.4733681752474146
v022,51,[51] anambra urban,243,1.3510508173023463
v022,49,[49] edo urban,237,1.317691537862782
v022,29,[29] nasarawa urban,236,1.3121316579561881
v022,40,[40] kwara rural,236,1.3121316579561881
v022,25,[25] niger urban,222,1.234293339263872
v022,53,[53] enugu urban,221,1.2287334593572778
v022,9,[9] yobe urban,221,1.2287334593572778
v022,43,[43] osun urban,218,1.2120538196374957
v022,5,[5] katsina urban,179,0.9952185032803292
v022,27,[27] fct urban,178,0.9896586233737351
v022,57,[57] cross river urban,170,0.945179584120983
v022,52,[52] anambra rural,167,0.928499944401201
v022,63,[63] imo urban,165,0.9173801845880128
v022,59,[59] akwa ibom urban,155,0.8617813855220727
v022,33,[33] taraba urban,154,0.8562215056154787
v022,47,[47] ondo urban,151,0.8395418658956967
v022,45,[45] ekiti urban,150,0.8339819859891027
v022,55,[55] ebonyi urban,147,0.8173023462693206
v022,28,[28] fct rural,143,0.7950628266429446
v022,62,[62] abia rural,142,0.7895029467363505
v022,68,[68] bayelsa rural,133,0.7394640275770044
v022,31,[31] plateau urban,132,0.7339041476704103
v022,61,[61] abia urban,132,0.7339041476704103
v022,58,[58] cross river rural,130,0.7227843878572223
v022,37,[37] kogi urban,129,0.7172245079506282
v022,39,[39] kwara urban,129,0.7172245079506282
v022,12,[12] borno rural,127,0.7061047481374402
v022,60,[60] akwa ibom rural,125,0.6949849883242522
v022,23,[23] kebbi urban,121,0.6727454686978761
v022,15,[15] gombe urban,113,0.628266429445124
v022,35,[35] benue urban,105,0.5837873901923718
v022,13,[13] adamawa urban,104,0.5782275102857779
v022,3,[3] zamfara urban,98,0.5448682308462137
v022,48,[48] ondo rural,93,0.5170688313132437
v022,17,[17] bauchi urban,85,0.4725897920604915
v022,70,[70] delta rural,85,0.4725897920604915
v022,54,[54] enugu rural,83,0.4614700322473035
v022,1,[1] sokoto urban,76,0.4225508729011453
v022,42,[42] oyo rural,75,0.41699099299455133
v022,7,[7] jigawa urban,71,0.39475147336817523
v022,74,[74] ogun rural,70,0.3891915934615812
v022,66,[66] rivers rural,68,0.3780718336483932
v022,46,[46] ekiti rural,47,0.26131435560991884
v022,50,[50] edo rural,43,0.23907483598354273
v022,44,[44] osun rural,26,0.14455687757144448
v022,72,[72] lagos rural,17,0.0945179584120983
v023,8,[8] jigawa rural,746,4.147670410319137
v023,24,[24] kebbi rural,698,3.880796174802624
v023,2,[2] sokoto rural,598,3.324808184143223
v023,20,[20] kano rural,598,3.324808184143223
v023,18,[18] bauchi rural,593,3.2970087846102523
v023,10,[10] yobe rural,569,3.1635716668519964
v023,22,[22] kaduna rural,545,3.0301345490937397
v023,14,[14] adamawa rural,512,2.846658512176137
v023,16,[16] gombe rural,505,2.8077393528299788
v023,6,[6] katsina rural,464,2.579784276659624
v023,11,[11] borno urban,456,2.535305237406872
v023,32,[32] plateau rural,424,2.3573890803958637
v023,56,[56] ebonyi rural,418,2.3240298009562994
v023,4,[4] zamfara rural,404,2.246191482263983
v023,26,[26] niger rural,381,2.1183142444123204
v023,19,[19] kano urban,368,2.0460358056265986
v023,73,[73] ogun urban,324,1.8014010897364616
v023,38,[38] kogi rural,321,1.7847214500166797
v023,34,[34] taraba rural,318,1.7680418102968978
v023,30,[30] nasarawa rural,312,1.7346825308573333
v023,21,[21] kaduna urban,304,1.6902034916045812
v023,71,[71] lagos urban,297,1.6512843322584232
v023,69,[69] delta urban,294,1.6346046925386413
v023,64,[64] imo rural,288,1.601245413099077
v023,65,[65] rivers urban,283,1.573446013566107
v023,41,[41] oyo urban,282,1.567886133659513
v023,36,[36] benue rural,267,1.4844879350606026
v023,67,[67] bayelsa urban,265,1.4733681752474146
v023,51,[51] anambra urban,243,1.3510508173023463
v023,49,[49] edo urban,237,1.317691537862782
v023,29,[29] nasarawa urban,236,1.3121316579561881
v023,40,[40] kwara rural,236,1.3121316579561881
v023,25,[25] niger urban,222,1.234293339263872
v023,53,[53] enugu urban,221,1.2287334593572778
v023,9,[9] yobe urban,221,1.2287334593572778
v023,43,[43] osun urban,218,1.2120538196374957
v023,5,[5] katsina urban,179,0.9952185032803292
v023,27,[27] fct urban,178,0.9896586233737351
v023,57,[57] cross river urban,170,0.945179584120983
v023,52,[52] anambra rural,167,0.928499944401201
v023,63,[63] imo urban,165,0.9173801845880128
v023,59,[59] akwa ibom urban,155,0.8617813855220727
v023,33,[33] taraba urban,154,0.8562215056154787
v023,47,[47] ondo urban,151,0.8395418658956967
v023,45,[45] ekiti urban,150,0.8339819859891027
v023,55,[55] ebonyi urban,147,0.8173023462693206
v023,28,[28] fct rural,143,0.7950628266429446
v023,62,[62] abia rural,142,0.7895029467363505
v023,68,[68] bayelsa rural,133,0.7394640275770044
v023,31,[31] plateau urban,132,0.7339041476704103
v023,61,[61] abia urban,132,0.7339041476704103
v023,58,[58] cross river rural,130,0.7227843878572223
v023,37,[37] kogi urban,129,0.7172245079506282
v023,39,[39] kwara urban,129,0.7172245079506282
v023,12,[12] borno rural,127,0.7061047481374402
v023,60,[60] akwa ibom rural,125,0.6949849883242522
v023,23,[23] kebbi urban,121,0.6727454686978761
v023,15,[15] gombe urban,113,0.628266429445124
v023,35,[35] benue urban,105,0.5837873901923718
v023,13,[13] adamawa urban,104,0.5782275102857779
v023,3,[3] zamfara urban,98,0.5448682308462137
v023,48,[48] ondo rural,93,0.5170688313132437
v023,17,[17] bauchi urban,85,0.4725897920604915
v023,70,[70] delta rural,85,0.4725897920604915
v023,54,[54] enugu rural,83,0.4614700322473035
v023,1,[1] sokoto urban,76,0.4225508729011453
v023,42,[42] oyo rural,75,0.41699099299455133
v023,7,[7] jigawa urban,71,0.39475147336817523
v023,74,[74] ogun rural,70,0.3891915934615812
v023,66,[66] rivers rural,68,0.3780718336483932
v023,46,[46] ekiti rural,47,0.26131435560991884
v023,50,[50] edo rural,43,0.23907483598354273
v023,44,[44] osun rural,26,0.14455687757144448
v023,72,[72] lagos rural,17,0.0945179584120983
v024,1,[1] north west,5270,29.300567107750474
v024,2,[2] north east,3757,20.888468809073725
v024,3,[3] north central,3215,17.875013899699766
v024,4,[4] south east,2006,11.153119092627598
v024,5,[5] south south,1988,11.053041254308907
v024,6,[6] south west,1750,9.729789836539531
v025,2,[2] rural,10771,59.88546647392417
v025,1,[1] urban,7215,40.11453352607583
v012,25,25,1186,6.5940175692205045
v012,30,30,1040,5.782275102857779
v012,28,28,983,5.465361948181919
v012,27,27,972,5.404203269209385
v012,26,26,946,5.259646391637941
v012,24,24,879,4.887134437896141
v012,32,32,875,4.864894918269766
v012,23,23,846,4.703658400978538
v012,31,31,824,4.58134104303347
v012,35,35,820,4.559101523407094
v012,20,20,788,4.381185366396085
v012,29,29,759,4.219948849104859
v012,22,22,725,4.030912932280663
v012,33,33,668,3.713999777604804
v012,21,21,653,3.6306015790058934
v012,34,34,620,3.447125542088291
v012,36,36,534,2.9689758701212052
v012,37,37,502,2.791059713110197
v012,38,38,465,2.5853441565662183
v012,19,19,421,2.3407094406760813
v012,40,40,408,2.2684310018903595
v012,39,39,377,2.096074724785945
v012,18,18,325,1.8069609696430555
v012,41,41,287,1.595685533192483
v012,42,42,227,1.262092738796842
v012,43,43,195,1.0841765817858335
v012,17,17,140,0.7783831869231624
v012,44,44,131,0.7283442677638163
v012,45,45,116,0.644946069164906
v012,46,46,68,0.3780718336483932
v012,16,16,58,0.322473034582453
v012,47,47,53,0.29467363504948296
v012,48,48,52,0.28911375514288895
v012,49,49,33,0.1834760369176026
v012,15,15,10,0.055598799065940174
v013,3,[3] 25-29,4846,26.94317802735461
v013,4,[4] 30-34,4027,22.389636383854107
v013,2,[2] 20-24,3891,21.633492716557324
v013,5,[5] 35-39,2698,15.00055598799066
v013,6,[6] 40-44,1248,6.938730123429333
v013,1,[1] 15-19,954,5.304125430890693
v013,7,[7] 45-49,322,1.7902813299232736
v106,0,[0] no education,7315,40.670521516735235
v106,2,[2] secondary,6462,35.92794395641054
v106,3,[3] higher,2233,12.415211831424442
v106,1,[1] primary,1976,10.986322695429779
v190,1,[1] poorest,4354,24.207717113310352
v190,4,[4] richer,3537,19.66529522962304
v190,2,[2] poorer,3510,19.515178472145
v190,3,[3] middle,3471,19.298343155787833
v190,5,[5] richest,3114,17.31346602913377
v201,2,2,3359,18.675636606249306
v201,1,1,3127,17.38574446791949
v201,3,3,2954,16.42388524407873
v201,4,4,2535,14.094295563215834
v201,5,5,1839,10.224619148226397
v201,6,6,1219,6.7774936061381075
v201,7,7,912,5.070610474813744
v201,8,8,621,3.4526854219948846
v201,0,0,515,2.863338151895919
v201,9,9,397,2.2072723229178246
v201,10,10,259,1.4400088958078505
v201,11,11,132,0.7339041476704103
v201,12,12,67,0.3725119537417992
v201,13,13,34,0.1890359168241966
v201,14,14,11,0.061158678972534186
v201,15,15,3,0.016679639719782053
v201,17,17,2,0.011119759813188036
v501,1,[1] married,15990,88.90247970643834
v501,2,[2] living with partner,932,5.181808072945624
v501,0,[0] never in union,589,3.274769264983876
v501,5,[5] no longer living together/separated,185,1.0285777827198932
v501,4,[4] divorced,147,0.8173023462693206
v501,3,[3] widowed,143,0.7950628266429446
v714,1,[1] yes,10604,58.95696652952296
v714,0,[0] no,7382,41.043033470477035
v481,0,[0] no,17479,97.18114088735683
v481,1,[1] yes,507,2.818859112643167
v467d,2,[2] not a big problem,12675,70.47147781607917
v467d,1,[1] big problem,5311,29.52852218392083
v743a,4,[4] husband/partner alone,8730,48.537751584565775
v743a,2,[2] respondent and husband/partner,6197,34.45457578116313
v743a,1,[1] respondent alone,1967,10.936283776270432
v743a,<MISSING>,<MISSING>,1064,5.915712220616035
v743a,5,[5] someone else,25,0.13899699766485044
v743a,6,[6] other,3,0.016679639719782053
v743b,4,[4] husband/partner alone,9675,53.79183809629712
v743b,2,[2] respondent and husband/partner,6135,34.109863226954296
v743b,<MISSING>,<MISSING>,1064,5.915712220616035
v743b,1,[1] respondent alone,1061,5.899032580896253
v743b,5,[5] someone else,38,0.21127543645057265
v743b,6,[6] other,13,0.07227843878572224
v743d,2,[2] respondent and husband/partner,7372,40.9874346714111
v743d,4,[4] husband/partner alone,6891,38.31313243633937
v743d,1,[1] respondent alone,2620,14.566885355276327
v743d,<MISSING>,<MISSING>,1064,5.915712220616035
v743d,6,[6] other,25,0.13899699766485044
v743d,5,[5] someone else,14,0.07783831869231625
p19,12,12,656,3.6472812187256753
p19,3,3,584,3.2469698654509065
p19,13,13,577,3.208050706104748
p19,4,4,575,3.1969309462915603
p19,5,5,564,3.135772267319026
p19,6,6,560,3.1135327476926498
p19,10,10,550,3.05793394862671
p19,2,2,544,3.0245746691871456
p19,9,9,543,3.0190147892805514
p19,14,14,542,3.0134549093739573
p19,34,34,542,3.0134549093739573
p19,0,0,536,2.9800956299343935
p19,8,8,535,2.9745357500277994
p19,7,7,533,2.9634159902146116
p19,1,1,526,2.924496830868453
p19,11,11,512,2.846658512176137
p19,15,15,494,2.7465806738574448
p19,32,32,491,2.729901034137663
p19,33,33,484,2.6909818747915044
p19,17,17,481,2.6743022350717225
p19,16,16,479,2.6631824752585342
p19,19,19,475,2.640942955632158
p19,25,25,472,2.6242633159123763
p19,26,26,470,2.6131435560991885
p19,27,27,467,2.596463916379406
p19,24,24,465,2.5853441565662183
p19,20,20,459,2.551984877126654
p19,30,30,458,2.54642499722006
p19,22,22,456,2.535305237406872
p19,31,31,446,2.4797064383409317
p19,29,29,444,2.468586678527744
p19,21,21,438,2.4352273990881796
p19,23,23,422,2.3462693205826755
p19,35,35,422,2.3462693205826755
p19,28,28,397,2.2072723229178246
p19,18,18,387,2.1516735238518847
m80,1,[1] most recent live birth,14040,78.06071388858
m80,2,[2] prior live birth,1953,10.858445457578117
m80,5,[5] miscarriage/abortion,1676,9.318358723451574
m80,3,[3] most recent stillbirth,301,1.6735238518847992
m80,4,[4] prior stillbirth,16,0.08895807850550429
m2a,0,[0] no,11429,63.54386745246303
m2a,<MISSING>,<MISSING>,3645,20.265762259535194
m2a,1,[1] yes,2912,16.19037028800178
m2b,1,[1] yes,7833,43.55053930835094
m2b,0,[0] no,6508,36.183698432113864
m2b,<MISSING>,<MISSING>,3645,20.265762259535194
m2c,0,[0] no,12904,71.74469031468921
m2c,<MISSING>,<MISSING>,3645,20.265762259535194
m2c,1,[1] yes,1437,7.989547425775603
m2d,<MISSING>,<MISSING>,17986,100
m2e,<MISSING>,<MISSING>,17986,100
m2f,<MISSING>,<MISSING>,17986,100
m2g,0,[0] no,14253,79.24496830868452
m2g,<MISSING>,<MISSING>,3645,20.265762259535194
m2g,1,[1] yes,88,0.4892694317802735
m2h,0,[0] no,14184,78.86133659512954
m2h,<MISSING>,<MISSING>,3645,20.265762259535194
m2h,1,[1] yes,157,0.8729011453352608
m2i,0,[0] no,14076,78.26086956521739
m2i,<MISSING>,<MISSING>,3645,20.265762259535194
m2i,1,[1] yes,265,1.4733681752474146
m2j,<MISSING>,<MISSING>,17986,100
m2k,0,[0] no,14331,79.67863894139886
m2k,<MISSING>,<MISSING>,3645,20.265762259535194
m2k,1,[1] yes,10,0.055598799065940174
m2l,<MISSING>,<MISSING>,17986,100
m2m,<MISSING>,<MISSING>,17986,100
m2n,0,[0] no: some care,10447,58.0840653841877
m2n,1,[1] yes: no care,3894,21.650172356277103
m2n,<MISSING>,<MISSING>,3645,20.265762259535194
m13,<MISSING>,<MISSING>,7539,41.9159346158123
m13,5,5,2398,13.332592016012454
m13,4,4,2157,11.992660958523297
m13,3,3,1801,10.013343711775825
m13,6,6,1684,9.362837762704325
m13,7,7,1060,5.893472700989658
m13,2,2,644,3.580562659846547
m13,1,1,328,1.8236406093628377
m13,8,8,288,1.601245413099077
m13,9,9,65,0.36139219392861116
m13,98,[98] don't know,22,0.12231735794506837
m14,0,[0] no antenatal visits,3894,21.650172356277103
m14,<MISSING>,<MISSING>,3645,20.265762259535194
m14,4,4,1631,9.068164127654843
m14,5,5,1596,8.873568330924051
m14,3,3,1464,8.139664183253641
m14,6,6,1165,6.47726009118203
m14,2,2,748,4.158790170132325
m14,8,8,652,3.6250416990992997
m14,7,7,646,3.5916824196597354
m14,10,10,414,2.3017902813299234
m14,98,[98] don't know,386,2.1461136439452906
m14,1,1,358,1.9904370065606585
m14,9,9,291,1.6179250528188593
m14,12,12,283,1.573446013566107
m14,20,20,181,1.0063382630935171
m14,15,15,143,0.7950628266429446
m14,11,11,101,0.5615478705659958
m14,18,18,91,0.5059490715000556
m14,16,16,89,0.49482931168686756
m14,14,14,81,0.4503502724341154
m14,13,13,75,0.41699099299455133
m14,17,17,33,0.1834760369176026
m14,19,19,19,0.10563771822528632
m42c,1,[1] yes,9703,53.94751473368176
m42c,<MISSING>,<MISSING>,7539,41.9159346158123
m42c,0,[0] no,732,4.069832091626821
m42c,8,[8] don't know,12,0.06671855887912821
m42d,1,[1] yes,9266,51.517847214500165
m42d,<MISSING>,<MISSING>,7539,41.9159346158123
m42d,0,[0] no,1170,6.505059490715001
m42d,8,[8] don't know,11,0.061158678972534186
m42e,1,[1] yes,9282,51.60680529300568
m42e,<MISSING>,<MISSING>,7539,41.9159346158123
m42e,0,[0] no,1152,6.404981652396308
m42e,8,[8] don't know,13,0.07227843878572224
m42f,1,[1] yes,9468,52.640942955632156
m42f,<MISSING>,<MISSING>,7539,41.9159346158123
m42f,0,[0] no,951,5.28744579117091
m42f,8,[8] don't know,28,0.1556766373846325
m42g,1,[1] yes,8635,48.00956299343934
m42g,<MISSING>,<MISSING>,7539,41.9159346158123
m42g,0,[0] no,1790,9.95218503280329
m42g,8,[8] don't know,22,0.12231735794506837
m42h,1,[1] yes,8082,44.93494940509285
m42h,<MISSING>,<MISSING>,7539,41.9159346158123
m42h,0,[0] no,2341,13.015678861336596
m42h,8,[8] don't know,24,0.13343711775825642
m42i,<MISSING>,<MISSING>,7539,41.9159346158123
m42i,1,[1] yes,7333,40.77059935505393
m42i,0,[0] no,3084,17.14666963193595
m42i,8,[8] don't know,30,0.16679639719782052
m15,11,[11] her home,8029,44.64027577004337
m15,24,[24] primary health care center,2199,12.226175914600244
m15,<MISSING>,<MISSING>,1676,9.318358723451574
m15,31,[31] private hospital,1671,9.290559323918602
m15,23,[23] general hospital,1547,8.601134215500945
m15,12,[12] other home,632,3.513844100967419
m15,25,[25] primary health clinic,510,2.835538752362949
m15,37,[37] maternity center,498,2.768820193483821
m15,32,[32] private clinic,400,2.223951962637607
m15,21,[21] teaching hospital,181,1.0063382630935171
m15,22,[22] federal medical center,179,0.9952185032803292
m15,26,[26] health post,104,0.5782275102857779
m15,96,[96] other,93,0.5170688313132437
m15,41,[41] faith-based hospital,74,0.41143111308795727
m15,42,[42] faith-based clinic,67,0.3725119537417992
m15,35,[35] private doctor,43,0.23907483598354273
m15,33,[33] pharmacy,23,0.1278772378516624
m15,34,[34] patent and proprietary medicine vendors (ppmv),22,0.12231735794506837
m15,27,[27] other public sector,15,0.08339819859891026
m15,46,[46] other ngo medical sector,12,0.06671855887912821
m15,36,[36] mobile clinic,7,0.038919159346158125
m15,38,[38] other private medical,4,0.022239519626376072
m3a,0,[0] no,13949,77.55476481707994
m3a,1,[1] yes,2361,13.126876459468475
m3a,<MISSING>,<MISSING>,1676,9.318358723451574
m3b,0,[0] no,9374,52.118314244412325
m3b,1,[1] yes,6936,38.56332703213611
m3b,<MISSING>,<MISSING>,1676,9.318358723451574
m3c,0,[0] no,15566,86.54509062604248
m3c,<MISSING>,<MISSING>,1676,9.318358723451574
m3c,1,[1] yes,744,4.136550650505949
m3d,<MISSING>,<MISSING>,17986,100
m3e,<MISSING>,<MISSING>,17986,100
m3f,<MISSING>,<MISSING>,17986,100
m3g,0,[0] no,13734,76.35939063716224
m3g,1,[1] yes,2576,14.322250639386189
m3g,<MISSING>,<MISSING>,1676,9.318358723451574
m3h,0,[0] no,15900,88.40209051484487
m3h,<MISSING>,<MISSING>,1676,9.318358723451574
m3h,1,[1] yes,410,2.279550761703547
m3i,0,[0] no,12508,69.54297787167796
m3i,1,[1] yes,3802,21.138663404870456
m3i,<MISSING>,<MISSING>,1676,9.318358723451574
m3j,0,[0] no,16155,89.81985989102635
m3j,<MISSING>,<MISSING>,1676,9.318358723451574
m3j,1,[1] yes,155,0.8617813855220727
m3k,0,[0] no,16297,90.6093628377627
m3k,<MISSING>,<MISSING>,1676,9.318358723451574
m3k,1,[1] yes,13,0.07227843878572224
m3l,<MISSING>,<MISSING>,17986,100
m3m,<MISSING>,<MISSING>,17986,100
m3n,0,[0] no: some assistance,14713,81.80251306571779
m3n,<MISSING>,<MISSING>,1676,9.318358723451574
m3n,1,[1] yes: no assistance,1597,8.879128210830647
m62,<MISSING>,<MISSING>,11453,63.67730457022128
m62,1,[1] yes,5213,28.98365395307461
m62,0,[0] no,1320,7.339041476704103
m63,<MISSING>,<MISSING>,12773,71.01634604692538
m63,101,101,1518,8.439897698209718
m63,100,[100] zero hours,1322,7.350161236517291
m63,102,102,984,5.470921828088513
m63,103,103,455,2.529745357500278
m63,104,104,177,0.9840987434671411
m63,105,105,166,0.922940064494607
m63,106,106,125,0.6949849883242522
m63,201,[201] one day,122,0.6783053486044701
m63,998,[998] don't know,62,0.3447125542088291
m63,108,108,49,0.27243411542310686
m63,202,202,46,0.2557544757033248
m63,112,112,35,0.1945957967307906
m63,107,107,23,0.1278772378516624
m63,109,109,18,0.10007783831869231
m63,124,124,18,0.10007783831869231
m63,110,110,16,0.08895807850550429
m63,111,111,14,0.07783831869231625
m63,203,203,11,0.061158678972534186
m63,301,[301] one week,6,0.033359279439564106
m63,205,205,5,0.027799399532970087
m63,302,302,5,0.027799399532970087
m63,204,204,4,0.022239519626376072
m63,113,113,3,0.016679639719782053
m63,114,114,3,0.016679639719782053
m63,118,118,3,0.016679639719782053
m63,120,120,3,0.016679639719782053
m63,130,130,3,0.016679639719782053
m63,115,115,2,0.011119759813188036
m63,117,117,2,0.011119759813188036
m63,123,123,2,0.011119759813188036
m63,303,303,2,0.011119759813188036
m63,306,306,2,0.011119759813188036
m63,119,119,1,0.005559879906594018
m63,160,160,1,0.005559879906594018
m63,206,206,1,0.005559879906594018
m63,207,207,1,0.005559879906594018
m63,210,210,1,0.005559879906594018
m63,304,304,1,0.005559879906594018
m63,305,305,1,0.005559879906594018
m64,<MISSING>,<MISSING>,12773,71.01634604692538
m64,12,[12] nurse/midwife,3029,16.840876237073278
m64,11,[11] doctor,1782,9.90770599355054
m64,13,[13] community health extension worker,246,1.3677304570221283
m64,21,[21] auxiliary midwife,78,0.4336706327143333
m64,23,[23] community health influencers promoters and services (chips)/community health wor,60,0.33359279439564105
m64,22,[22] traditional birth attendant,18,0.10007783831869231
m66,0,[0] no,12062,67.06327143333704
m66,<MISSING>,<MISSING>,3645,20.265762259535194
m66,1,[1] yes,2279,12.670966307127765
m67,<MISSING>,<MISSING>,15707,87.32903369287224
m67,100,[100] zero hours,534,2.9689758701212052
m67,101,101,386,2.1461136439452906
m67,201,[201] one day,268,1.4900478149671967
m67,202,202,203,1.1286556210385856
m67,102,102,195,1.0841765817858335
m67,103,103,121,0.6727454686978761
m67,203,203,108,0.600467029912154
m67,301,[301] one week,50,0.27799399532970087
m67,104,104,47,0.26131435560991884
m67,105,105,38,0.21127543645057265
m67,207,207,37,0.20571555654397863
m67,204,204,36,0.20015567663738462
m67,302,302,35,0.1945957967307906
m67,106,106,27,0.1501167574780385
m67,205,205,25,0.13899699766485044
m67,124,124,23,0.1278772378516624
